t,x,y,z
8.33E-02,3.94E-01,8.79E-01,1.00E+00
1.00E-01,3.14E-01,9.64E-01,1.03E+00
1.17E-01,2.75E-01,1.06E+00,1.09E+00
1.33E-01,2.47E-01,1.16E+00,1.18E+00
1.50E-01,2.35E-01,1.23E+00,1.25E+00
1.67E-01,2.05E-01,1.30E+00,1.30E+00
1.83E-01,1.95E-01,1.36E+00,1.35E+00
2.00E-01,1.56E-01,1.43E+00,1.41E+00
2.17E-01,1.27E-01,1.48E+00,1.44E+00
2.33E-01,1.01E-01,1.53E+00,1.48E+00
2.50E-01,1.01E-01,1.57E+00,1.52E+00
2.67E-01,1.03E-01,1.62E+00,1.56E+00
2.83E-01,1.02E-01,1.66E+00,1.63E+00
3.00E-01,9.54E-02,1.69E+00,1.68E+00
3.17E-01,1.07E-01,1.72E+00,1.72E+00
3.33E-01,1.07E-01,1.75E+00,1.76E+00
3.50E-01,1.08E-01,1.78E+00,1.78E+00
3.67E-01,1.01E-01,1.80E+00,1.78E+00
3.83E-01,1.02E-01,1.82E+00,1.81E+00
4.00E-01,9.97E-02,1.84E+00,1.82E+00
4.17E-01,9.90E-02,1.87E+00,1.86E+00
4.33E-01,1.17E-01,1.89E+00,1.86E+00
4.50E-01,1.23E-01,1.91E+00,1.89E+00
4.67E-01,1.17E-01,1.92E+00,1.90E+00
4.83E-01,1.19E-01,1.93E+00,1.91E+00
5.00E-01,1.17E-01,1.94E+00,1.91E+00
5.17E-01,1.25E-01,1.95E+00,1.90E+00
5.33E-01,1.15E-01,1.96E+00,1.90E+00
5.50E-01,1.11E-01,1.96E+00,1.88E+00
5.67E-01,1.02E-01,1.96E+00,1.87E+00
5.83E-01,1.00E-01,1.97E+00,1.86E+00
6.00E-01,9.57E-02,1.96E+00,1.82E+00
6.17E-01,1.06E-01,1.98E+00,1.82E+00
6.33E-01,1.19E-01,1.99E+00,1.80E+00
6.50E-01,1.18E-01,2.00E+00,1.76E+00
6.67E-01,9.53E-02,1.99E+00,1.75E+00
6.83E-01,1.00E-01,1.99E+00,1.72E+00
7.00E-01,9.88E-02,2.00E+00,1.67E+00
7.17E-01,9.50E-02,1.98E+00,1.62E+00
7.33E-01,7.99E-02,1.98E+00,1.58E+00
7.50E-01,7.21E-02,1.98E+00,1.57E+00
7.67E-01,5.96E-02,1.97E+00,1.53E+00
7.83E-01,5.23E-02,1.96E+00,1.49E+00
8.00E-01,4.56E-02,1.94E+00,1.45E+00
8.17E-01,3.84E-02,1.92E+00,1.38E+00
8.33E-01,3.26E-02,1.91E+00,1.33E+00
8.50E-01,3.64E-02,1.91E+00,1.27E+00
8.67E-01,3.26E-02,1.89E+00,1.23E+00
8.83E-01,4.21E-02,1.87E+00,1.17E+00
9.00E-01,3.68E-02,1.84E+00,1.10E+00
9.17E-01,4.28E-02,1.81E+00,1.03E+00
9.33E-01,4.25E-02,1.76E+00,9.72E-01
9.50E-01,2.95E-02,1.73E+00,9.51E-01
9.67E-01,1.59E-02,1.69E+00,9.34E-01
9.83E-01,3.84E-02,1.60E+00,8.07E-01
1.00E+00,4.49E-02,1.55E+00,7.57E-01
1.02E+00,5.37E-02,1.48E+00,7.06E-01
1.03E+00,5.85E-02,1.41E+00,6.28E-01
1.05E+00,7.57E-02,1.34E+00,5.75E-01
1.07E+00,1.20E-01,1.25E+00,4.98E-01
1.08E+00,1.39E-01,1.17E+00,4.32E-01
1.10E+00,1.88E-01,1.06E+00,3.68E-01
1.12E+00,2.19E-01,9.88E-01,3.23E-01
1.13E+00,2.74E-01,8.50E-01,2.65E-01
